,record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
0,1,Comparison of the instructional efficacy of Internet-based CME with live interactive CME workshops: a randomized controlled trial,"CONTEXT: Despite evidence that a variety of continuing medical education (CME) techniques can foster physician behavioral change, there have been no randomized trials comparing performance outcomes for physicians participating in Internet-based CME with physicians participating in a live CME intervention using approaches documented to be effective. OBJECTIVE: To determine if Internet-based CME can produce changes comparable to those produced via live, small-group, interactive CME with respect to physician knowledge and behaviors that have an impact on patient care. DESIGN, SETTING, AND PARTICIPANTS: Randomized controlled trial conducted from August 2001 to July 2002. Participants were 97 primary care physicians drawn from 21 practice sites in Houston, Tex, including 7 community health centers and 14 private group practices. A control group of 18 physicians from these same sites received no intervention. INTERVENTIONS: Physicians were randomly assigned to an Internet-based CME intervention that could be completed in multiple sessions over 2 weeks, or to a single live, small-group, interactive CME workshop. Both incorporated similar multifaceted instructional approaches demonstrated to be effective in live settings. Content was based on the National Institutes of Health National Cholesterol Education Program--Adult Treatment Panel III guidelines. MAIN OUTCOME MEASURES: Knowledge was assessed immediately before the intervention, immediately after the intervention, and 12 weeks later. The percentage of high-risk patients who had appropriate lipid panel screening and pharmacotherapeutic treatment according to guidelines was documented with chart audits conducted over a 5-month period before intervention and a 5-month period after intervention. RESULTS: Both interventions produced similar and significant immediate and 12-week knowledge gains, representing large increases in percentage of items correct (pretest to posttest: 31.0% [95% confidence interval {CI}, 27.0%-35.0%]""; pretest to 12 weeks: 36.4% [95% CI, 32.2%-40.6%]; P or =93%) with no significant postintervention change. However, the Internet-based intervention was associated with a significant increase in the percentage of high-risk patients treated with pharmacotherapeutics according to guidelines (preintervention, 85.3%; postintervention, 90.3%;"" P = .04). CONCLUSIONS: Appropriately designed, evidence-based online CME can produce objectively measured changes in behavior as well as sustained gains in knowledge that are comparable or superior to those realized from effective live activities.",1,1,
1,2,Counseling African Americans to Control Hypertension: cluster-randomized clinical trial main effects,"BACKGROUND: Data are limited on the implementation of evidence-based multilevel interventions targeted at blood pressure (BP) control in hypertensive blacks who receive care in low-resource primary care practices. METHODS AND RESULTS: Counseling African Americans to Control Hypertension is a cluster-randomized clinical trial in which 30 community health centers were randomly assigned to the intervention condition (IC) or usual care (UC). Patients at the IC sites received patient education, home BP monitoring, and monthly lifestyle counseling, whereas physicians attended monthly hypertension case rounds and received feedback on their patients' home BP readings and chart audits. Patients and physicians at the UC sites received printed patient education material and hypertension treatment guidelines, respectively. The primary outcome was BP control, and secondary outcomes were mean changes in systolic and diastolic BPs at 12 months, assessed with an automated BP device. A total of 1059 patients (mean age, 56 years""; 28% men, 59% obese, and 36% with diabetes mellitus) were enrolled. The BP control rate was similar in both groups (IC=49.3% versus UC=44.5%; odds ratio, 1.21 [95% confidence interval, 0.90-1.63]; P=0.21). In prespecified subgroup analyses, the intervention was associated with greater BP control in patients without diabetes mellitus (IC=54.0% versus UC=44.7%; odds ratio, 1.45 [confidence interval, 1.02-2.06]); and small-sized community health centers (IC=51.1% versus UC=39.6%;"" odds ratio, 1.45 [confidence interval, 1.04-2.45]). CONCLUSIONS: A practice-based, multicomponent intervention was no better than UC in improving BP control among hypertensive blacks. Future research on the implementation of behavioral modification strategies for hypertension control in low-resource settings should focus on the development of more efficient and tailored interventions in this high-risk population. CLINICAL TRIAL REGISTRATION URL: http://www.clinicaltrials.gov. Unique identifier: NCT00233220.",0,0,
2,3,Evaluation of computer based clinical decision support system and risk chart for management of hypertension in primary care: randomised controlled trial.,"Objectives: To investigate the effect of a computer based clinical decision support system and a risk chart on absolute cardiovascular risk, blood pressure, and prescribing of cardiovascular drugs in hypertensive patients.  Design: Cluster randomised controlled trial.  Setting: 27 general practices in Avon.  Participants: 614 patients aged between 60 and 79 years with high blood pressure.  Interventions: Patients were randomised to computer based clinical decision support system plus cardiovascular risk chart""; cardiovascular risk chart alone;"" or usual care.  Main outcome measures: Percentage of patients in each group with a five year cardiovascular risk=10%, systolic blood pressure, diastolic blood pressure, prescribing of cardiovascular drugs.  Results: Patients in the computer based clinical decision support system and chart only groups were no more likely to have cardiovascular risk reduced to below 10% than patients receiving usual care. Patients in the computer based clinical decision support group were more likely to have a cardiovascular risk=10% than chart only patients, odds ratio 2.3 (95% confidence interval 1.1 to 4.8). The chart only group had significantly lower systolic blood pressure compared with the usual care group (difference in means-4.6 mm Hg (95% confidence interval-8.4 to-0.8). Reduction of diastolic blood pressure did not differ between the three groups. The chart only group were twice as likely to be prescribed two classes of cardiovascular drugs and over three times as likely to be prescribed three or more classes of drugs compared with the other groups.  Conclusions: The computer based clinical decision support system did not confer any benefit in absolute risk reduction or blood pressure control and requires further development and evaluation before use in clinical care can be recommended. Use of chart guidelines are associated with a potentially important reduction in systolic blood pressure.",1,1,
3,4,Using implementation intentions to teach practitioners: changing practice behaviors via continuing education,"OBJECTIVE: This study evaluated the effectiveness of implementation intentions on increasing the use of a practice behavior among mental health practitioners who attended a one-day continuing education class. METHODS: Seventy-eight practitioners were randomly assigned to one of two classes on psychiatric advance directives. One class incorporated instruction in implementation intentions (N=40) and the other class did not (N=38). Implementation intention training involved having the participants describe the best time and place to use a practitioner-guided procedure to assist consumers to complete a psychiatric advance directive. Use of the practitioner-guided procedure was the dependent variable in this study. Use of the procedure in practice was assessed three months after the class via an electronic self-report survey. RESULTS: There were no statistically significant differences between the two class conditions in participant characteristics or preclass or postclass knowledge of and intentions to use the procedure. Fifty-four participants (69%) responded to the three-month follow-up survey, indicating that they had used the practitioner-guided procedure. The results of the follow-up survey showed that overall those attending the class that incorporated implementation intentions used the practitioner-guided procedure significantly more often than those in the other class (80% versus 58%). The effect of implementation intentions on utilization of the practitioner-guided procedure was evident among practitioners whose postclass intentions were high but below the median for the overall sample (chi(2)=7.1, df=1, p<.01). Implementation rates among practitioners with the highest post-class intentions were equivalent in the two class conditions. CONCLUSIONS: Incorporating implementation intentions into continuing education classes can increase the use of practices taught in these classes among well-motivated practitioners.",1,1,
4,5,Oral quinolones in hospitalized patients: an evaluation of a computerized decision support intervention.,"Objective. To determine whether a computerized decision support system could increase the proportion of oral quinolone antibiotic orders placed for hospitalized patients.  Design. Prospective, interrupted time-series analysis.  Setting. University hospital in the south-eastern United States.  Subjects. Inpatient quinolone orders placed from 1 February 2001 to 31 January 2003.  Intervention. A web-based intervention was deployed as part of an existing order entry system at a university hospital on 5 February 2002. Based on an automated query of active medication and diet orders, some users ordering intravenous quinolones were presented with a suggestion to consider choosing an oral formulation.  Main outcome measure. The proportion of inpatient quinolone orders placed for oral formulations before and after deployment of the intervention.  Results. There were a total of 15 194 quinolone orders during the study period, of which 8962 (59%) were for oral forms. Orders for oral quinolones increased from 4202 (56%) before the intervention to 4760 (62%) after, without a change in total orders. In the time-series analysis, there was an overall 5.6% increase (95% CI 2.8–8.4%"";"" P < 0.001) in weekly oral quinolone orders due to the intervention, with the greatest effect on nonintensive care medical units.  Conclusions. A web-based intervention was able to increase oral quinolone orders in hospitalized patients. This is one of the first studies to demonstrate a significant effect of a computerized intervention on dosing route within an antibiotic class. This model could be applied to other antibiotics or other drug classes with good oral bioavailability.",1,1,
5,6,Better medicine by default,"Background. American health care is transitioning to electronic physician ordering. These computerized systems are unique because they allow custom order interfaces. Although these systems provide great benefits, there are also potential pitfalls, as the behavioral sciences have shown that the very format of electronic interfaces can influence decision making. The current research specifically examines how defaults in electronic order templates affect physicians’ treatment decisions and medical errors. Methods. Forty-five medical residents completed order sets for 3 medical case studies. Participants were randomly assigned to receive order sets with either “opt-in” defaults (options visible but unselected) or “opt-out” defaults (options visible and preselected). Results compare error rates between conditions and examine the type and severity of errors most often made with opt-in versus opt-out defaults. Results. Opt-out defaults resulted in a greater number of items ordered and specifically increased commission errors (overordering) compared with opt-in defaults. However, while opt-in defaults resulted in fewer orders, they also increased omission errors. When the severity of the errors is taken into account, the default effects seem limited to less severe errors. Conclusion. The defaults used in electronic order sets influence medical treatment decisions when the consequences to a patient’s health are low. This pattern suggests that physicians cognitively override incorrect default choices but only to a point, and it implies tradeoffs that maximize accuracy and minimize cognitive effort. Results indicate that defaults for low-impact items on electronic templates warrant careful attention because physicians are unlikely to override them.",1,1,
6,7,Knowledge translation of the American College of Emergency Physicians' clinical policy on syncope using computerized clinical decision support,"AIMS: To influence physician practice behavior after implementation of a computerized clinical decision support system (CDSS) based upon the recommendations from the 2007 ACEP Clinical Policy on Syncope. METHODS: This was a pre-post intervention with a prospective cohort and retrospective controls. We conducted a medical chart review of consecutive adult patients with syncope. A computerized CDSS prompting physicians to explain their decision-making regarding imaging and admission in syncope patients based upon ACEP Clinical Policy recommendations was embedded into the emergency department information system (EDIS). The medical records of 410 consecutive adult patients presenting with syncope were reviewed prior to implementation, and 301 records were reviewed after implementation. Primary outcomes were physician practice behavior demonstrated by admission rate and rate of head computed tomography (CT) imaging before and after implementation. RESULTS: There was a significant difference in admission rate pre- and post-intervention (68.1% vs. 60.5% respectively, p = 0.036). There was no significant difference in the head CT imaging rate pre- and post-intervention (39.8% vs. 43.2%, p = 0.358). There were seven physicians who saw ten or more patients during the pre- and post-intervention. Subset analysis of these seven physicians' practice behavior revealed a slight significant difference in the admission rate pre- and post-intervention (74.3% vs. 63.9%, p = 0.0495) and no significant difference in the head CT scan rate pre- and post-intervention (42.9% vs. 45.4%, p = 0.660). CONCLUSIONS: The introduction of an evidence-based CDSS based upon ACEP Clinical Policy recommendations on syncope correlated with a change in physician practice behavior in an urban academic emergency department. This change suggests emergency medicine clinical practice guideline recommendations can be incorporated into the physician workflow of an EDIS to enhance the quality of practice.",1,1,
7,8,Improving antibiotic prescribing for adults with community acquired pneumonia: Does a computerised decision support system achieve more than academic detailing alone?--A time series analysis,"BACKGROUND: The ideal method to encourage uptake of clinical guidelines in hospitals is not known. Several strategies have been suggested. This study evaluates the impact of academic detailing and a computerised decision support system (CDSS) on clinicians' prescribing behaviour for patients with community acquired pneumonia (CAP). METHODS: The management of all patients presenting to the emergency department over three successive time periods was evaluated"";"" the baseline, academic detailing and CDSS periods. The rate of empiric antibiotic prescribing that was concordant with recommendations was studied over time comparing pre and post periods and using an interrupted time series analysis. RESULTS: The odds ratio for concordant therapy in the academic detailing period, after adjustment for age, illness severity and suspicion of aspiration, compared with the baseline period was OR = 2.79 [1.88, 4.14], p < 0.01, and for the computerised decision support period compared to the academic detailing period was OR = 1.99 [1.07, 3.69], p = 0.02. During the first months of the computerised decision support period an improvement in the appropriateness of antibiotic prescribing was demonstrated, which was greater than that expected to have occurred with time and academic detailing alone, based on predictions from a binary logistic model. CONCLUSION: Deployment of a computerised decision support system was associated with an early improvement in antibiotic prescribing practices which was greater than the changes seen with academic detailing. The sustainability of this intervention requires further evaluation.",1,1,
8,9,Nudging physician prescription decisions by partitioning the order set: results of a vignette-based study. ,"Background Healthcare professionals are rapidly adopting electronic health records (EHRs). Within EHRs, seemingly innocuous menu design configurations can influence provider decisions for better or worse.  Objective The purpose of this study was to examine whether the grouping of menu items systematically affects prescribing practices among primary care providers.  Participants We surveyed 166 primary care providers in a research network of practices in the greater Chicago area, of whom 84 responded (51 % response rate). Respondents and non-respondents were similar on all observable dimensions except that respondents were more likely to work in an academic setting.  Design The questionnaire consisted of seven clinical vignettes. Each vignette described typical signs and symptoms for acute respiratory infections, and providers chose treatments from a menu of options. For each vignette, providers were randomly assigned to one of two menu partitions. For antibiotic-inappropriate vignettes, the treatment menu either listed over-the-counter (OTC) medications individually while grouping prescriptions together, or displayed the reverse partition. For antibiotic-appropriate vignettes, the treatment menu either listed narrow-spectrum antibiotics individually while grouping broad-spectrum antibiotics, or displayed the reverse partition.  Main Measures The main outcome was provider treatment choice. For antibiotic-inappropriate vignettes, we categorized responses as prescription drugs or OTC-only options. For antibiotic-appropriate vignettes, we categorized responses as broad- or narrow-spectrum antibiotics.  Key Results Across vignettes, there was an 11.5 percentage point reduction in choosing aggressive treatment options (e.g., broad-spectrum antibiotics) when aggressive options were grouped compared to when those same options were listed individually (95 % CI: 2.9 to 20.1 %"";"" p?=?.008).  Conclusions Provider treatment choice appears to be influenced by the grouping of menu options, suggesting that the layout of EHR order sets is not an arbitrary exercise. The careful crafting of EHR order sets can serve as an important opportunity to improve patient care without constraining physicians’ ability to prescribe what they believe is best for their patients.",1,1,
9,10,Use of action planning to increase provision of smoking cessation care by general practitioners: role of plan specificity and enactment,"Background Strategies are needed to help general practitioners (GPs) promote smoking cessation as recommended by guidelines. This study examines whether the quality of action planning among GPs improves their provision of smoking cessation care.  Methods The effectiveness of a 1-h training programme was examined in a cluster randomised controlled trial in which 49 GPs participated. GPs who followed the training (intervention group"";"" n?=?25) formulated action plans related to i) enquiring about smoking, ii) advising to quit smoking, and iii) arranging follow-up for smokers motivated to quit. GPs also formulated a coping plan for encountering smokers not motivated to quit. The quality of these plans (plan specificity) was rated and, 6 weeks after the training, GPs reported on the performance of these plans (plan enactment). Multilevel regression analyses were used to examine the effects of plan specificity and plan enactment on patient-reported smoking cessation activities of the GPs in the intervention group (n?=?1,632 patients) compared with the control group (n?=?1,769 patients).  Results Compared to the control group, GPs who formulated a highly specific action plan during the training asked their patients about smoking more often after the training compared to prior to the training (OR 2.11, 95% CI 1.51–2.95). GPs were most likely to have asked patients about smoking after the training compared to prior to the training when they had enacted a highly specific formulated action plan (OR 3.08, 95% CI 2.04–4.64). The effects of GP plan specificity and plan enactment on asking patient about smoking were most prominent among GPs who, at baseline, intended to provide smoking cessation care.  Conclusions A highly specific action plan formulated by a GP on when, how, and by whom patients will be asked about smoking had a positive effect on GPs’ asking patients about smoking, especially when these professionals also reported to have enacted this plan. This effect was most prominent among GPs who intended to provide smoking cessation care prior to the intervention. Training in devising personalised coping plans is recommended to further increase GPs’ provision of advice to quit smoking and arranging follow-up support to quit smoking.",1,1,
