record_id,Unnamed: 0,title,abstract,label_included,label_abstract_screening,duplicate_record_id,atd
9,8,Nudging physician prescription decisions by partitioning the order set: results of a vignette-based study. ,"Background Healthcare professionals are rapidly adopting electronic health records (EHRs). Within EHRs, seemingly innocuous menu design configurations can influence provider decisions for better or worse.  Objective The purpose of this study was to examine whether the grouping of menu items systematically affects prescribing practices among primary care providers.  Participants We surveyed 166 primary care providers in a research network of practices in the greater Chicago area, of whom 84 responded (51 % response rate). Respondents and non-respondents were similar on all observable dimensions except that respondents were more likely to work in an academic setting.  Design The questionnaire consisted of seven clinical vignettes. Each vignette described typical signs and symptoms for acute respiratory infections, and providers chose treatments from a menu of options. For each vignette, providers were randomly assigned to one of two menu partitions. For antibiotic-inappropriate vignettes, the treatment menu either listed over-the-counter (OTC) medications individually while grouping prescriptions together, or displayed the reverse partition. For antibiotic-appropriate vignettes, the treatment menu either listed narrow-spectrum antibiotics individually while grouping broad-spectrum antibiotics, or displayed the reverse partition.  Main Measures The main outcome was provider treatment choice. For antibiotic-inappropriate vignettes, we categorized responses as prescription drugs or OTC-only options. For antibiotic-appropriate vignettes, we categorized responses as broad- or narrow-spectrum antibiotics.  Key Results Across vignettes, there was an 11.5 percentage point reduction in choosing aggressive treatment options (e.g., broad-spectrum antibiotics) when aggressive options were grouped compared to when those same options were listed individually (95 % CI: 2.9 to 20.1 %"";"" p?=?.008).  Conclusions Provider treatment choice appears to be influenced by the grouping of menu options, suggesting that the layout of EHR order sets is not an arbitrary exercise. The careful crafting of EHR order sets can serve as an important opportunity to improve patient care without constraining physicians’ ability to prescribe what they believe is best for their patients.",1,1,,1.0
4,3,Using implementation intentions to teach practitioners: changing practice behaviors via continuing education,"OBJECTIVE: This study evaluated the effectiveness of implementation intentions on increasing the use of a practice behavior among mental health practitioners who attended a one-day continuing education class. METHODS: Seventy-eight practitioners were randomly assigned to one of two classes on psychiatric advance directives. One class incorporated instruction in implementation intentions (N=40) and the other class did not (N=38). Implementation intention training involved having the participants describe the best time and place to use a practitioner-guided procedure to assist consumers to complete a psychiatric advance directive. Use of the practitioner-guided procedure was the dependent variable in this study. Use of the procedure in practice was assessed three months after the class via an electronic self-report survey. RESULTS: There were no statistically significant differences between the two class conditions in participant characteristics or preclass or postclass knowledge of and intentions to use the procedure. Fifty-four participants (69%) responded to the three-month follow-up survey, indicating that they had used the practitioner-guided procedure. The results of the follow-up survey showed that overall those attending the class that incorporated implementation intentions used the practitioner-guided procedure significantly more often than those in the other class (80% versus 58%). The effect of implementation intentions on utilization of the practitioner-guided procedure was evident among practitioners whose postclass intentions were high but below the median for the overall sample (chi(2)=7.1, df=1, p<.01). Implementation rates among practitioners with the highest post-class intentions were equivalent in the two class conditions. CONCLUSIONS: Incorporating implementation intentions into continuing education classes can increase the use of practices taught in these classes among well-motivated practitioners.",1,1,,3.0
21,20,Using implementation intentions to teach practitioners: changing practice behaviours via continuing education.,"Objective: This study evaluated the effectiveness of implementation intentions on increasing the use of a practice behavior among mental health practitioners who attended a one-day continuing education class. Methods: Seventy-eight practitioners were randomly assigned to one of two classes on psychiatric advance directives. One class incorporated instruction in implementation intentions (N=40) and the other class did not (N=38). Implementation intention training involved having the participants describe the best time and place to use a practitioner-guided procedure to assist consumers to complete a psychiatric advance directive. Use of the practitioner-guided procedure was the dependent variable in this study. Use of the procedure in practice was assessed three months after the class via an electronic self-report survey. Results: There were no statistically significant differences between the two class conditions in participant characteristics or preclass or postclass knowledge of and intentions to use the procedure. Fifty-four participants (69%) responded to the three-month follow-up survey, indicating that they had used the practitioner-guided procedure. The results of the follow-up survey showed that overall those attending the class that incorporated implementation intentions used the practitioner-guided procedure significantly more often than those in the other class (80% versus 58%). The effect of implementation intentions on utilization of the practitioner-guided procedure was evident among practitioners whose postclass intentions were high but below the median for the overall sample (?2=7.1, df=1, p<.01). Implementation rates among practitioners with the highest post-class intentions were equivalent in the two class conditions. Conclusions: Incorporating implementation intentions into continuing education classes can increase the use of practices taught in these classes among well-motivated practitioners. (Psychiatric Services 59:747–752, 2008)",1,1,,5.0
38,37,Feasibility and acceptability of two incentive-based implementation strategies for mental health therapists implementing cognitive-behavioral therapy: a pilot study to inform a randomized controlled trial,"Background Informed by our prior work indicating that therapists do not feel recognized or rewarded for implementation of evidence-based practices, we tested the feasibility and acceptability of two incentive-based implementation strategies that seek to improve therapist adherence to cognitive-behavioral therapy for youth, an evidence-based practice.  Methods This study was conducted over 6 weeks in two community mental health agencies with therapists (n?=?11) and leaders (n?=?4). Therapists were randomized to receive either a financial or social incentive if they achieved a predetermined criterion on adherence to cognitive-behavioral therapy. In the first intervention period (block 1""; 2 weeks), therapists received the reward they were initially randomized to if they achieved criterion. In the second intervention period (block 2;"" 2 weeks), therapists received both rewards if they achieved criterion. Therapists recorded 41 sessions across 15 unique clients over the project period. Primary outcomes included feasibility and acceptability. Feasibility was assessed quantitatively. Fifteen semi-structured interviews were conducted with therapists and leaders to assess acceptability. Difference in therapist adherence by condition was examined as an exploratory outcome. Adherence ratings were ascertained using an established and validated observational coding system of cognitive-behavioral therapy.  Results Both implementation strategies were feasible and acceptable—however, modifications to study design for the larger trial will be necessary based on participant feedback. With respect to our exploratory analysis, we found a trend suggesting the financial reward may have had a more robust effect on therapist adherence than the social reward.  Conclusions Incentive-based implementation strategies can be feasibly administered in community mental health agencies with good acceptability, although iterative pilot work is essential. Larger, fully powered trials are needed to compare the effectiveness of implementation strategies to incentivize and enhance therapists’ adherence to evidence-based practices such as cognitive-behavioral therapy.",1,1,,18.0
7,6,Knowledge translation of the American College of Emergency Physicians' clinical policy on syncope using computerized clinical decision support,"AIMS: To influence physician practice behavior after implementation of a computerized clinical decision support system (CDSS) based upon the recommendations from the 2007 ACEP Clinical Policy on Syncope. METHODS: This was a pre-post intervention with a prospective cohort and retrospective controls. We conducted a medical chart review of consecutive adult patients with syncope. A computerized CDSS prompting physicians to explain their decision-making regarding imaging and admission in syncope patients based upon ACEP Clinical Policy recommendations was embedded into the emergency department information system (EDIS). The medical records of 410 consecutive adult patients presenting with syncope were reviewed prior to implementation, and 301 records were reviewed after implementation. Primary outcomes were physician practice behavior demonstrated by admission rate and rate of head computed tomography (CT) imaging before and after implementation. RESULTS: There was a significant difference in admission rate pre- and post-intervention (68.1% vs. 60.5% respectively, p = 0.036). There was no significant difference in the head CT imaging rate pre- and post-intervention (39.8% vs. 43.2%, p = 0.358). There were seven physicians who saw ten or more patients during the pre- and post-intervention. Subset analysis of these seven physicians' practice behavior revealed a slight significant difference in the admission rate pre- and post-intervention (74.3% vs. 63.9%, p = 0.0495) and no significant difference in the head CT scan rate pre- and post-intervention (42.9% vs. 45.4%, p = 0.660). CONCLUSIONS: The introduction of an evidence-based CDSS based upon ACEP Clinical Policy recommendations on syncope correlated with a change in physician practice behavior in an urban academic emergency department. This change suggests emergency medicine clinical practice guideline recommendations can be incorporated into the physician workflow of an EDIS to enhance the quality of practice.",1,1,,24.0
42,41,Assessment of radiological referral practice and effect of computer-based guidelines on radiological requests in two emergency departments.,"AIM: To assess medical emergency radiology referral practice compared with a set of French guidelines and to measure the efficiency of computer-based guidelines on unnecessary medical imaging. MATERIALS AND METHODS: All radiological requests were computerized in the medical emergency departments of two French teaching hospitals. During control periods, radiological requests were recorded but no action was taken. During intervention periods, reminder displays on screen indicated the appropriate recommendations. Three control and three intervention periods of 1 month each were conducted. The percentage of requests that did not conform to the guidelines and variation related to periods of control and intervention were measured. RESULTS: The proportion of requests that did not conform to the guidelines was 33·2% when the guidelines were inactive and decreased to 26·9% when the recommendations were active (P < 0·0001). The three imaging examinations (chest radiographs, abdominal plain radiographs and CT of the brain) accounted for more than 80% of all requests""; more than 50% of abdominal plain radiographs requests did not conform with recommendations while this percentage was respectively 24·9% and 15·8% for chest radiographs and computed tomography (CT) of the brain. Seven situations accounted for 70% of non-conforming radiological referrals; in these situations, junior practitioners' knowledge was inadequate. CONCLUSION: While the computer provided advice that was tailored to the needs of individual patients, concurrent with care, the effect of our intervention was weak. However, our study identified the few situations that were responsible for the majority of unnecessary radiological requests;"" we expect that this result could help clinicians and radiologists to develop more specific actions for these situations. Carton, M. et al. (2002). Clinical Radiology (2002)57 , 123–128.",1,1,,52.0
29,28,Laboratory test form design influences test ordering by general practitioners in The Netherlands,"The effect of listing fewer laboratory tests on the test request form on test-ordering behavior of a group of 47 Dutch general practitioners was studied. The number of laboratory tests ordered by this experimental group during a 12-month period was recorded. The usual, old standard form was used by a control group of 28 general practitioners in a different region. After having used the old, standard form with 178 tests for 5 months, the experimental group received forms listing only 15 hematological and chemical tests plus several urine and feces tests, and space was allowed for ""others."" A comparison of the experimental and control periods showed that the number of tests ordered monthly in the experimental group was reduced by 18. When the usual standard form was re-introduced, the general practitioners quickly returned to their old pattern. Results revealed that fixed and often unsound routine influences the use of additional diagnostic procedures. In addition, limiting and restructuring the test-ordering forms may break the routine but does not essentially modify the rationale of test-ordering behavior.",1,1,,68.0
20,19,Assessment of decision support for blood test ordering in primary care. a randomized trial,"BACKGROUND: Different methods for changing blood test-ordering behavior in primary care have been proven effective. However, randomized trials comparing these methods are lacking. OBJECTIVE: To compare the effect of two versions of BloodLink, a computer-based clinical decision support system, on blood test ordering among general practitioners. DESIGN: Randomized trial. SETTING: 44 practices of general practitioners in the region of Delft, the Netherlands. PARTICIPANTS: 60 general practitioners in 44 practices who used computer-based patient records in their practices. INTERVENTION: After stratification by solo practices and group practices, practices were randomly assigned to use BloodLink-Restricted, which initially displays a reduced list of tests, or BloodLink-Guideline, which is based on the guidelines of the Dutch College of General Practitioners. MEASUREMENTS: Average number of blood tests ordered per order form per practice. RESULTS: General practitioners who used BloodLink-Guideline requested 20% fewer tests on average than did practitioners who used BloodLink-Restricted (mean [+/-SD], 5.5 +/- 0.9 tests vs. 6.9 +/- 1.6 tests, respectively"";"" P = 0.003, Mann-Whitney test). CONCLUSIONS: Decision support based on guidelines is more effective in changing blood test-ordering behavior than is decision support based on initially displaying a limited number of tests. Guideline-driven decision support systems can be effective in reducing the number of laboratory tests ordered by primary care practitioners.",1,1,,71.0
10,9,Use of action planning to increase provision of smoking cessation care by general practitioners: role of plan specificity and enactment,"Background Strategies are needed to help general practitioners (GPs) promote smoking cessation as recommended by guidelines. This study examines whether the quality of action planning among GPs improves their provision of smoking cessation care.  Methods The effectiveness of a 1-h training programme was examined in a cluster randomised controlled trial in which 49 GPs participated. GPs who followed the training (intervention group"";"" n?=?25) formulated action plans related to i) enquiring about smoking, ii) advising to quit smoking, and iii) arranging follow-up for smokers motivated to quit. GPs also formulated a coping plan for encountering smokers not motivated to quit. The quality of these plans (plan specificity) was rated and, 6 weeks after the training, GPs reported on the performance of these plans (plan enactment). Multilevel regression analyses were used to examine the effects of plan specificity and plan enactment on patient-reported smoking cessation activities of the GPs in the intervention group (n?=?1,632 patients) compared with the control group (n?=?1,769 patients).  Results Compared to the control group, GPs who formulated a highly specific action plan during the training asked their patients about smoking more often after the training compared to prior to the training (OR 2.11, 95% CI 1.51–2.95). GPs were most likely to have asked patients about smoking after the training compared to prior to the training when they had enacted a highly specific formulated action plan (OR 3.08, 95% CI 2.04–4.64). The effects of GP plan specificity and plan enactment on asking patient about smoking were most prominent among GPs who, at baseline, intended to provide smoking cessation care.  Conclusions A highly specific action plan formulated by a GP on when, how, and by whom patients will be asked about smoking had a positive effect on GPs’ asking patients about smoking, especially when these professionals also reported to have enacted this plan. This effect was most prominent among GPs who intended to provide smoking cessation care prior to the intervention. Training in devising personalised coping plans is recommended to further increase GPs’ provision of advice to quit smoking and arranging follow-up support to quit smoking.",1,1,,74.0
6,5,Better medicine by default,"Background. American health care is transitioning to electronic physician ordering. These computerized systems are unique because they allow custom order interfaces. Although these systems provide great benefits, there are also potential pitfalls, as the behavioral sciences have shown that the very format of electronic interfaces can influence decision making. The current research specifically examines how defaults in electronic order templates affect physicians’ treatment decisions and medical errors. Methods. Forty-five medical residents completed order sets for 3 medical case studies. Participants were randomly assigned to receive order sets with either “opt-in” defaults (options visible but unselected) or “opt-out” defaults (options visible and preselected). Results compare error rates between conditions and examine the type and severity of errors most often made with opt-in versus opt-out defaults. Results. Opt-out defaults resulted in a greater number of items ordered and specifically increased commission errors (overordering) compared with opt-in defaults. However, while opt-in defaults resulted in fewer orders, they also increased omission errors. When the severity of the errors is taken into account, the default effects seem limited to less severe errors. Conclusion. The defaults used in electronic order sets influence medical treatment decisions when the consequences to a patient’s health are low. This pattern suggests that physicians cognitively override incorrect default choices but only to a point, and it implies tradeoffs that maximize accuracy and minimize cognitive effort. Results indicate that defaults for low-impact items on electronic templates warrant careful attention because physicians are unlikely to override them.",1,1,,78.0
